fixture_id,home_shots_on_goal,away_shots_on_goal,home_shots_off_goal,away_shots_off_goal,home_total_shots,away_total_shots,home_blocked_shots,away_blocked_shots,home_shots_insidebox,away_shots_insidebox,home_shots_outsidebox,away_shots_outsidebox,home_fouls,away_fouls,home_corner_kicks,away_corner_kicks,home_offsides,away_offsides,home_ball_possession,away_ball_possession,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_total_passes,away_total_passes,home_passes_accurate,away_passes_accurate,home_passes_pct,away_passes_pct,home_expected_goals,away_expected_goals
9738,3.0,5.0,4.0,6.0,8.0,12.0,1.0,1.0,4.0,9.0,4.0,3.0,9.0,17.0,8.0,6.0,4.0,2.0,52.0,48.0,1.0,3.0,0.0,0.0,4.0,3.0,444.0,409.0,328.0,293.0,74.0,72.0,,
11090,5.0,5.0,4.0,6.0,12.0,14.0,3.0,3.0,10.0,8.0,2.0,6.0,9.0,18.0,6.0,9.0,1.0,2.0,48.0,52.0,2.0,4.0,0.0,1.0,4.0,4.0,418.0,429.0,314.0,332.0,75.0,77.0,,
8888,4.0,7.0,11.0,2.0,17.0,13.0,2.0,4.0,11.0,10.0,6.0,3.0,14.0,20.0,7.0,5.0,3.0,0.0,45.0,55.0,3.0,2.0,0.0,0.0,5.0,3.0,396.0,511.0,290.0,390.0,73.0,76.0,,
11087,5.0,3.0,12.0,0.0,23.0,5.0,6.0,2.0,11.0,1.0,12.0,4.0,8.0,16.0,5.0,3.0,0.0,2.0,43.0,57.0,0.0,2.0,0.0,0.0,3.0,4.0,424.0,567.0,320.0,463.0,75.0,82.0,,
11088,0.0,6.0,11.0,9.0,13.0,15.0,2.0,0.0,7.0,8.0,6.0,7.0,14.0,6.0,2.0,6.0,,,41.0,59.0,,,0.0,0.0,4.0,0.0,426.0,631.0,356.0,550.0,84.0,87.0,,
11089,6.0,6.0,6.0,3.0,21.0,10.0,9.0,1.0,15.0,8.0,6.0,2.0,7.0,26.0,9.0,3.0,1.0,1.0,64.0,36.0,0.0,4.0,0.0,0.0,3.0,5.0,488.0,277.0,359.0,157.0,74.0,57.0,,
11751,2.0,7.0,5.0,6.0,10.0,14.0,3.0,1.0,6.0,6.0,4.0,8.0,6.0,14.0,6.0,4.0,4.0,2.0,51.0,49.0,,,,,7.0,1.0,392.0,380.0,251.0,240.0,64.0,63.0,,
11749,4.0,2.0,6.0,3.0,14.0,7.0,4.0,2.0,8.0,5.0,6.0,2.0,14.0,18.0,4.0,6.0,3.0,0.0,53.0,47.0,2.0,3.0,0.0,1.0,1.0,2.0,415.0,352.0,318.0,242.0,77.0,69.0,,
11750,2.0,5.0,4.0,4.0,7.0,12.0,1.0,3.0,3.0,10.0,4.0,2.0,11.0,4.0,1.0,3.0,2.0,10.0,35.0,65.0,,,,,2.0,2.0,431.0,769.0,363.0,707.0,84.0,92.0,,
11086,3.0,3.0,5.0,4.0,11.0,9.0,3.0,2.0,8.0,8.0,3.0,1.0,12.0,16.0,0.0,3.0,4.0,1.0,57.0,43.0,1.0,1.0,0.0,0.0,3.0,1.0,623.0,452.0,508.0,330.0,82.0,73.0,,
11082,7.0,2.0,8.0,2.0,15.0,6.0,0.0,2.0,7.0,3.0,8.0,3.0,10.0,26.0,5.0,1.0,5.0,1.0,48.0,52.0,0.0,3.0,0.0,0.0,2.0,6.0,419.0,446.0,325.0,332.0,78.0,74.0,,
11085,9.0,6.0,3.0,9.0,15.0,20.0,3.0,5.0,8.0,13.0,7.0,7.0,10.0,11.0,5.0,8.0,2.0,3.0,44.0,56.0,2.0,3.0,0.0,0.0,6.0,6.0,358.0,439.0,264.0,344.0,74.0,78.0,,
11084,6.0,7.0,2.0,4.0,8.0,15.0,0.0,4.0,7.0,8.0,1.0,7.0,12.0,17.0,2.0,3.0,1.0,1.0,53.0,47.0,3.0,2.0,0.0,0.0,5.0,2.0,452.0,376.0,359.0,295.0,79.0,78.0,,
11083,8.0,1.0,14.0,4.0,26.0,7.0,4.0,2.0,16.0,1.0,10.0,6.0,8.0,13.0,13.0,1.0,2.0,0.0,83.0,17.0,,,0.0,0.0,1.0,7.0,827.0,174.0,762.0,105.0,92.0,60.0,,
11748,3.0,10.0,2.0,10.0,7.0,23.0,2.0,3.0,3.0,17.0,4.0,6.0,12.0,6.0,2.0,5.0,2.0,1.0,21.0,79.0,,,,,6.0,3.0,223.0,834.0,149.0,763.0,67.0,91.0,,
11746,4.0,4.0,4.0,3.0,16.0,7.0,8.0,0.0,7.0,4.0,9.0,3.0,10.0,11.0,4.0,1.0,2.0,3.0,55.0,45.0,3.0,2.0,1.0,0.0,3.0,4.0,509.0,426.0,392.0,312.0,77.0,73.0,,
11747,4.0,11.0,5.0,2.0,11.0,16.0,2.0,3.0,6.0,9.0,5.0,7.0,13.0,9.0,9.0,9.0,3.0,1.0,53.0,47.0,1.0,0.0,,,5.0,3.0,413.0,369.0,334.0,278.0,81.0,75.0,,
11745,0.0,3.0,4.0,8.0,6.0,22.0,2.0,11.0,4.0,10.0,2.0,12.0,9.0,9.0,1.0,7.0,4.0,0.0,29.0,71.0,2.0,0.0,,,3.0,0.0,300.0,704.0,214.0,607.0,71.0,86.0,,
11744,8.0,4.0,6.0,2.0,25.0,7.0,11.0,1.0,14.0,5.0,11.0,2.0,5.0,10.0,10.0,2.0,3.0,1.0,75.0,25.0,1.0,1.0,,,4.0,5.0,749.0,248.0,663.0,161.0,89.0,65.0,,
11743,2.0,7.0,3.0,4.0,9.0,14.0,4.0,3.0,7.0,8.0,2.0,6.0,14.0,12.0,4.0,9.0,2.0,0.0,56.0,44.0,1.0,2.0,,,7.0,1.0,570.0,427.0,482.0,342.0,85.0,80.0,,
11742,5.0,1.0,3.0,4.0,14.0,6.0,6.0,1.0,10.0,3.0,4.0,3.0,16.0,6.0,5.0,7.0,1.0,4.0,70.0,30.0,1.0,1.0,,,1.0,3.0,711.0,291.0,611.0,195.0,86.0,67.0,,
11081,5.0,3.0,7.0,3.0,13.0,8.0,1.0,2.0,8.0,6.0,5.0,2.0,7.0,16.0,9.0,4.0,0.0,2.0,54.0,46.0,0.0,3.0,0.0,0.0,1.0,2.0,494.0,404.0,396.0,313.0,80.0,77.0,,
35736,2.0,9.0,2.0,6.0,5.0,22.0,1.0,7.0,3.0,13.0,2.0,9.0,11.0,11.0,4.0,4.0,2.0,1.0,40.0,60.0,1.0,0.0,1.0,0.0,5.0,3.0,366.0,536.0,276.0,457.0,75.0,85.0,,
9737,6.0,2.0,6.0,6.0,16.0,10.0,4.0,2.0,12.0,5.0,4.0,5.0,22.0,14.0,8.0,5.0,4.0,0.0,61.0,39.0,2.0,3.0,0.0,0.0,2.0,7.0,489.0,310.0,407.0,223.0,83.0,72.0,,
11741,2.0,6.0,5.0,3.0,11.0,13.0,4.0,4.0,8.0,10.0,3.0,3.0,12.0,13.0,6.0,4.0,,,56.0,44.0,4.0,2.0,1.0,0.0,3.0,2.0,452.0,368.0,357.0,275.0,79.0,75.0,,
8887,8.0,5.0,11.0,3.0,26.0,8.0,7.0,0.0,16.0,5.0,10.0,3.0,9.0,16.0,15.0,3.0,4.0,0.0,66.0,34.0,1.0,4.0,0.0,0.0,2.0,7.0,533.0,291.0,449.0,204.0,84.0,70.0,,
